Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0020426367936739764,40897.51858503986,4.994525008715723e-06
Austria,Hydrorun-of-the-river,2025-2030,147.4918983884702,41439.82137931652,0.3559182773458731
Austria,Hydrorun-of-the-river,2030-2035,12586.174642768745,53235.786654150674,23.64231926267108
Austria,Hydrorun-of-the-river,2035-2040,12219.509995867385,53933.441600225444,22.656647959614553
Austria,Hydrorun-of-the-river,2040-2045,14932.01744610564,55557.17215269499,26.87684932031104
Austria,Hydrorun-of-the-river,2045-2050,15368.999962883938,55497.30276462989,27.69323768411871
Austria,Hydrorun-of-the-river,2050-2055,14231.683807973788,54669.252090420065,26.03233675930911
Austria,Hydrorun-of-the-river,2055-2060,11240.865643449442,53212.27797496001,21.124571379445612
Belgium,Hydrorun-of-the-river,2020-2025,410.6823752453386,881.4823748110242,46.58997014357574
Belgium,Hydrorun-of-the-river,2025-2030,45.78732529126875,516.587325212867,8.863424063376206
Belgium,Hydrorun-of-the-river,2030-2035,258.11698254911227,728.9169821855461,35.41102606433835
Belgium,Hydrorun-of-the-river,2035-2040,250.78063282036274,721.5806326176217,34.75434642842691
Belgium,Hydrorun-of-the-river,2040-2045,582.2186124675843,1053.0186123483297,55.290438900142746
Belgium,Hydrorun-of-the-river,2045-2050,1409.1837722873342,1879.9837718895078,74.95723066114616
Belgium,Hydrorun-of-the-river,2050-2055,818.1149066791322,1288.9149063812947,63.473151146652384
Belgium,Hydrorun-of-the-river,2055-2060,515.7961242921283,986.5961180557915,52.28037236843864
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.5769463470715,6836.323336996808,41.90230340400309
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3003138055956,5523.441236174871,52.219263145506915
Bulgaria,Hydrorun-of-the-river,2030-2035,4681.223737068875,7434.066967398047,62.96988926247623
Bulgaria,Hydrorun-of-the-river,2035-2040,4111.89431032322,5931.506879705053,69.32292912602483
Bulgaria,Hydrorun-of-the-river,2040-2045,4219.550192737917,6112.502434696144,69.03146849949147
Bulgaria,Hydrorun-of-the-river,2045-2050,5439.077200350685,7066.370593240877,76.97129847043786
Bulgaria,Hydrorun-of-the-river,2050-2055,4835.1435077835795,6488.368388368894,74.52017546431397
Bulgaria,Hydrorun-of-the-river,2055-2060,4258.524557474351,5667.7636264277335,75.13588847667604
Switzerland,Hydrorun-of-the-river,2020-2025,0.0013204926137852695,1347.124925310353,9.802302585122549e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0009485002934558428,19731.604113374076,4.807010560347445e-06
Switzerland,Hydrorun-of-the-river,2030-2035,2.15377409053374,19379.388455672826,0.011113736098846179
Switzerland,Hydrorun-of-the-river,2035-2040,0.00841851986780951,17539.12304924604,4.799852218478734e-05
Switzerland,Hydrorun-of-the-river,2040-2045,0.0358764731309557,19918.021675814525,0.00018012066516886433
Switzerland,Hydrorun-of-the-river,2045-2050,249.7898579459569,13012.330382159045,1.9196396848979405
Switzerland,Hydrorun-of-the-river,2050-2055,118.00674822261533,19271.65673227773,0.6123331785220524
Switzerland,Hydrorun-of-the-river,2055-2060,15.451467807461825,17078.51204445603,0.0904731499280561
CzechR,Hydrorun-of-the-river,2020-2025,85.05697125675974,1340.112537416958,6.347002127202352
CzechR,Hydrorun-of-the-river,2025-2030,151.37563340648927,1372.6125278523157,11.028285866175361
CzechR,Hydrorun-of-the-river,2030-2035,267.213939326267,1414.502555242218,18.891018495227076
CzechR,Hydrorun-of-the-river,2035-2040,419.1388967838532,1951.9957370356694,21.472326441673687
CzechR,Hydrorun-of-the-river,2040-2045,300.5119674717549,1769.2863331212238,16.984925607921095
CzechR,Hydrorun-of-the-river,2045-2050,581.6045091350984,1766.4206057862036,32.92559581958886
CzechR,Hydrorun-of-the-river,2050-2055,279.68034929921316,1606.063083243595,17.414032625317088
CzechR,Hydrorun-of-the-river,2055-2060,263.2270917536433,1735.3241110697493,15.168756664792474
Germany,Hydrorun-of-the-river,2020-2025,0.0023537104436654834,22743.06202853753,1.034913610450561e-05
Germany,Hydrorun-of-the-river,2025-2030,0.0009168292183583529,21792.57829261484,4.2070708938054005e-06
Germany,Hydrorun-of-the-river,2030-2035,441.74563641986504,23254.42763419316,1.8996194762081569
Germany,Hydrorun-of-the-river,2035-2040,0.010210523380243265,22720.14046107759,4.4940406058383105e-05
Germany,Hydrorun-of-the-river,2040-2045,493.387175536393,23008.454575686854,2.144373382025221
Germany,Hydrorun-of-the-river,2045-2050,877.0429732138481,23652.132002217837,3.7080926705956516
Germany,Hydrorun-of-the-river,2050-2055,1036.3881287715237,23733.124596884747,4.366842320069233
Germany,Hydrorun-of-the-river,2055-2060,29.54025745102964,22085.227422588465,0.1337557313121271
Denmark,Hydrorun-of-the-river,2020-2025,0.0012459799496063692,21.24842456881527,0.005863869792186858
Denmark,Hydrorun-of-the-river,2025-2030,0.0024234035553632196,26.92504806139777,0.009000554241675186
Denmark,Hydrorun-of-the-river,2030-2035,0.0199060501206733,23.140695639554377,0.08602183110972646
